,green_space,pharmacies,education,groceries,perc_pop_white,perc_pop_black,perc_pop_asiapacific,perc_pop_hispanic,perc_pop_indig,perc_pop_otherrace,perc_pop_poverty,perc_hhld_total_w_chld,perc_hhld_single_mother,perc_hhld_nocar,workers_all,urban,equity,C000,scores,disparity
0,0.1190620704,0,0,0,0.8167155425219942,0.0,0.1495601173020528,0.030791788856304986,0.0,0.002932551319648094,0.039589442815249266,0.017892644135188866,0.0,0.4671968190854871,466.0,1,0,20,40.875,0.012600545122834927
1,0.003332218742,0,0,0,0.7779171894604768,0.04015056461731493,0.1342534504391468,0.012547051442910916,0.0,0.03513174404015056,0.060225846925972396,0.1628498727735369,0.020356234096692113,0.3155216284987277,367.0,1,0,222,20.708000000000002,0.06742422689811767
2,0.0,0,0,0,0.8342105263157895,0.018859649122807017,0.0030701754385964912,0.11929824561403508,0.0,0.02456140350877193,0.10087719298245613,0.33948339483394835,0.05781057810578106,0.00984009840098401,1181.0,0,0,139,0.0,0.894457099468489
3,2.397278627e-07,0,0,0,0.8948275862068965,0.0,0.07586206896551724,0.029310344827586206,0.0,0.0,0.08103448275862069,0.37438423645320196,0.0,0.024630541871921183,372.0,0,0,74,0.0,0.40387858347386174
4,0.002840704705,0,0,1,0.39619985925404644,0.31175228712174524,0.033075299085151305,0.258972554539057,0.0,0.0,0.1301900070372977,0.24535315985130113,0.137546468401487,0.25092936802973975,556.0,1,0,230,44.083,0.16416905338358534
5,0.05925827082000001,1,0,2,0.8924914675767918,0.040955631399317405,0.025597269624573378,0.040955631399317405,0.0,0.0,0.0,0.2568218298555377,0.05778491171749599,0.012841091492776886,874.0,0,0,221,0.0,0.0
6,1.461128224,3,0,4,0.7581184336198663,0.09455587392550144,0.03581661891117478,0.07354345749761222,0.0,0.03796561604584527,0.08213944603629417,0.5364936042136945,0.163280662151994,0.020316027088036117,1958.0,0,0,2105,0.833,0.18883974140864235
7,5.891246232,0,0,1,0.731606827545615,0.0394349617422013,0.1718658034137728,0.05709240729841083,0.0,0.0,0.00529723366686286,0.5953307392996109,0.03501945525291829,0.007782101167315175,893.0,0,0,1078,0.0,0.0
8,0.0,0,0,0,0.056281978396816375,0.047754405912450254,0.0,0.8806139852188744,0.015349630471859011,0.0,0.34565093803297325,0.5546558704453441,0.18016194331983806,0.17408906882591094,373.0,1,1,49,15.042,0.06375605962642605
9,0.00687448245,0,0,2,0.4582278481012658,0.5025316455696203,0.0,0.039240506329113925,0.0,0.0,0.04050632911392405,0.34285714285714286,0.1469387755102041,0.04897959183673469,367.0,1,1,531,29.458000000000002,0.01781443851311948
10,0.0009298318376,1,0,0,0.7271095152603232,0.019748653500897665,0.0807899461400359,0.13644524236983843,0.0,0.03590664272890485,0.11131059245960502,0.22745098039215686,0.0,0.13725490196078433,431.0,1,1,763,14.833,0.110114061437103
11,0.008518419679,0,0,0,0.8707317073170732,0.007317073170731708,0.07723577235772358,0.027642276422764227,0.0,0.01707317073170732,0.012195121951219513,0.12908496732026145,0.0,0.0915032679738562,903.0,1,0,94,13.125,0.08951218894767488
12,0.0,0,0,1,0.028762541806020066,0.07558528428093646,0.0,0.8956521739130435,0.0,0.0,0.23010033444816053,0.5802469135802469,0.12098765432098765,0.12098765432098765,573.0,1,1,140,14.5,0.341432105055001
13,0.012667119499999999,0,0,0,0.6892655367231638,0.10734463276836158,0.10357815442561205,0.03295668549905838,0.0,0.06685499058380415,0.10263653483992467,0.30526315789473685,0.0,0.02368421052631579,605.0,1,0,68,18.292,0.07931676817997468
