,BG_ID,GR_AC,HO,PH,UC,ED,GO,POP_TOTAL,WH,BL,AS,HI,IN,OR,PO,HHLD_TOTAL,CH,SM,NC,WORKERS_ALL,WORKERS_ESSENTIAL,ER,UR,EQ,JO,FARE_NO,FARE_YES,DISPARITY,P_WH,P_BL,P_AS,P_HI,P_IN,P_OR,AREA_KM2,DENSITY,GR_M2,CE01,SC00,SC01,SC02,SC03,SC04,SC05,SC06,SC07,SC08,SC09
3874,170312002001,0.0,0,0,0,0,0,1169,92,36,63,953,0,25,103,346,82,42,64,394.0,211.0,1,1,1,288,283305.0,266419.0,1.063381365,0.07869974337,0.030795551749999997,0.05389221557,0.8152266895,0.0,0.02138579983,0.212,5514.150943,0.0,20,8.541666666666666,8.541666666666666,31713.0,283305.0,1038821.5,479709.07899999997,9085.0,47144.5,178541.5,89298.105
3875,170312001001,0.022146783,0,0,0,0,0,701,186,67,0,448,0,0,77,281,93,52,42,367.0,208.0,1,1,1,82,275780.0,265831.5,1.0374240829999999,0.2653352354,0.09557774607999998,0.0,0.6390870185,0.0,0.0,0.166,4222.891565999999,89.62493027,24,21.166666666666668,21.166666666666668,29443.0,275780.0,1035162.0,473089.399,8541.5,45574.5,178764.0,88212.829
3876,170318255011,0.4958928291,0,2,0,0,2,806,86,719,0,1,0,0,52,396,47,0,60,356.0,199.0,1,1,1,1056,3207.0,3207.0,1.0,0.1066997519,0.8920595533,0.0,0.001240694789,0.0,0.0,3.42,235.67251459999997,2006.8088539999999,333,1.2083333333333333,1.2083333333333333,1861.0,3207.0,11308.5,12824.194,561.0,716.0,3335.0,3646.66
3877,170318238033,1.216178503,0,0,0,1,0,1840,1585,0,97,148,0,10,217,801,185,21,21,861.0,419.0,1,0,1,1886,24388.5,12018.5,2.029246578,0.8614130434999999,0.0,0.0527173913,0.08043478261,0.0,0.005434782609,2.33,789.6995708,4921.704138,738,7.291666666666668,7.291666666666668,6398.5,24388.5,96420.5,93859.136,1976.0,8091.5,25624.5,21783.051
3878,170318299014,6.835634749,0,0,0,0,1,4060,1930,1362,0,665,0,103,117,1792,303,119,35,1607.0,870.0,1,0,1,865,3539.0,2239.5,1.5802634519999998,0.47536945810000003,0.3354679803,0.0,0.1637931034,0.0,0.02536945813,11.16,363.7992832,27662.856839999997,456,4.666666666666667,4.666666666666667,865.0,3539.0,32199.5,136842.529,456.0,1378.5,11269.5,28088.32
3879,170318285055,7.270870306,0,0,0,0,0,2219,850,1275,0,94,0,0,363,850,257,77,36,1073.0,586.0,1,1,1,476,8746.5,8746.5,1.0,0.3830554304,0.5745831456,0.0,0.04236142406000001,0.0,0.0,10.119,219.2904437,29424.19421,115,1.5,1.5,1178.0,8746.5,29716.0,21863.466,336.5,2626.5,7579.0,5133.889
3880,170318281002,0.032561965510000006,0,1,0,0,0,1607,1067,213,71,256,0,0,127,677,82,16,16,598.0,304.0,1,1,0,209,20481.0,14668.0,1.3963048809999998,0.6639701307,0.1325451151,0.04418170504,0.1593030492,0.0,0.0,0.598,2687.29097,131.77371570000003,96,0.5833333333333334,0.5833333333333334,7737.0,20481.0,25380.0,15420.743999999999,2231.0,5297.0,6528.0,4341.045999999999
3881,170318296002,0.0,0,1,0,0,2,592,293,56,0,243,0,0,126,274,28,14,26,319.0,170.0,1,1,1,401,14201.0,14201.0,1.0,0.4949324324,0.09459459458999998,0.0,0.41047297299999996,0.0,0.0,0.491,1205.702648,0.0,226,1.5416666666666667,1.5416666666666667,6299.5,14201.0,42138.0,29756.324,1189.0,3360.5,9107.5,7210.438
3882,170318296001,0.0,0,1,0,0,0,1274,639,274,42,319,0,0,306,541,109,21,52,651.0,317.0,1,1,1,164,14218.5,14218.5,1.0,0.5015698586999999,0.2150706436,0.03296703297,0.2503924647,0.0,0.0,0.7070000000000001,1801.980198,0.0,10,1.5416666666666667,1.5416666666666667,6254.0,14218.5,42556.5,29373.211,1181.5,3368.5,9218.0,7091.075
3883,170318295002,0.02384446301,0,1,0,0,1,993,493,140,0,327,0,33,184,394,98,82,37,310.0,174.0,1,1,1,381,14247.0,13279.0,1.072897056,0.4964753273,0.1409869084,0.0,0.329305136,0.0,0.0332326284,2.117,469.05999060000005,96.49520359,114,1.5416666666666667,1.5416666666666667,5992.0,14247.0,42864.5,29847.842,1141.5,3346.5,9486.0,7264.745
