bg_id,green_space,hospitals,pharmacies,urgent_care_facilities,education,groceries,pop_total,pop_white,pop_black,pop_asiapacific,pop_hispanic,pop_indig,pop_otherrace,pop_poverty,hhld_total,hhld_total_w_chld,hhld_single_mother,hhld_nocar,workers_all,workers_essential,er,urban,equity,C000,CA01,CA02,CA03,CE01,CE02,CE03,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02,CFA01,CFA02,CFA03,CFA04,CFA05,CFS01,CFS02,CFS03,CFS04,CFS05,scores,faren,farey,ratio
170318071002,0.08225309161,0,1,0,0,3,1516,672,422,270,113,0,39,39,486,199,62,16,787,376,1,1,0,461,145,220,96,166,190,105,0,0,0,5,15,7,55,2,1,24,1,38,0,14,10,3,1,245,40,0,356,54,3,34,1,13,340,121,58,78,88,92,244,217,0,0,0,0,0,0,0,0,0,0,7.417,76897.5,43219,1.779252181
170318118004,0.008929473449,0,1,0,0,3,1432,534,18,15,853,0,12,314,425,176,82,30,748,397,1,1,1,301,85,144,72,93,125,83,0,0,0,27,0,5,83,10,32,22,0,23,0,18,2,11,0,39,29,0,235,27,6,28,1,4,219,82,35,41,75,65,143,158,0,0,0,0,0,0,0,0,0,0,9.583,88492.5,50855.5,1.740077278
170318183003,0.1512613512,0,2,0,0,5,2409,275,1037,0,1097,0,0,139,676,243,43,46,894,497,1,1,1,1054,232,565,257,235,361,458,0,0,0,343,148,27,257,17,0,16,1,26,0,1,0,77,87,39,15,0,798,200,8,37,1,10,774,280,171,218,270,163,644,410,0,0,0,0,0,0,0,0,0,0,4.250,61394.5,43505.5,1.41118939
170318133022,0,0,0,0,0,3,2126,73,45,0,2008,0,0,518,542,346,103,82,690,373,1,1,1,950,109,592,249,59,353,538,0,0,0,0,806,0,27,2,0,0,0,0,2,0,98,0,0,15,0,0,629,269,11,27,3,11,522,428,245,211,242,143,562,388,0,0,0,0,0,0,0,0,0,0,21.125,552584,491947,1.123259213
170318299013,0.06657602409,0,0,0,0,0,2095,275,1263,105,405,0,47,231,599,184,104,11,562,325,1,1,1,66,4,30,32,6,27,33,0,0,0,13,52,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,65,0,0,0,1,0,65,1,4,17,22,19,37,29,0,0,0,0,0,0,0,0,0,0,2.333,12778,12778,1
170318279023,0,0,0,0,0,0,398,188,48,0,125,0,37,0,131,31,13,11,230,124,1,1,1,6,0,2,4,2,4,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,2,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0.000,9476,8295,1.142374925
170318285044,0,0,0,0,0,0,1680,197,1322,0,125,0,36,974,479,201,153,13,519,306,1,1,1,14,3,7,4,4,5,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,8,0,13,0,0,1,0,0,13,1,4,6,1,0,7,7,0,0,0,0,0,0,0,0,0,0,1.542,8781,8363,1.049982064
170318294023,0.5060229858,0,0,0,0,0,1590,175,1172,0,65,0,178,280,466,223,160,25,666,360,1,0,1,178,18,101,59,19,67,92,0,0,0,0,0,131,0,0,0,0,0,2,0,0,43,0,0,0,2,0,128,44,2,3,0,1,125,53,40,33,53,34,124,54,0,0,0,0,0,0,0,0,0,0,2.042,11582,9629.5,1.202762345
170318320001,0,0,0,0,0,3,1781,1425,54,204,84,0,14,216,822,76,6,229,1227,510,1,1,0,1096,516,466,114,529,417,150,0,0,0,2,2,0,159,0,5,0,1,6,0,16,0,85,162,644,14,0,878,134,9,49,0,26,846,250,108,144,169,159,543,553,0,0,0,0,0,0,0,0,0,0,52.083,912497,536383.5,1.701202591
170318325001,0.003421871434,0,0,0,0,2,1303,1005,90,41,105,0,62,158,581,111,20,115,564,254,1,1,0,840,338,364,138,368,350,122,0,0,0,0,11,1,149,3,25,0,2,59,0,57,5,62,2,382,82,0,621,150,7,45,2,15,596,244,105,127,140,130,388,452,0,0,0,0,0,0,0,0,0,0,23.167,986126,491652,2.005739832
