,green_space,pharmacies,education,groceries,perc_pop_white,perc_pop_black,perc_pop_asiapacific,perc_pop_hispanic,perc_pop_indig,perc_pop_otherrace,perc_pop_poverty,perc_hhld_total_w_chld,perc_hhld_single_mother,perc_hhld_nocar,workers_all,urban,equity,C000,scores,disparity,pop_white,pop_black,pop_asiapacific,pop_hispanic,pop_indig,pop_otherrace,pop_poverty,hhld_total,hhld_total_w_chld,hhld_single_mother,hhld_nocar,workers_essential
0,0.1190620704,0,0,0,0.8167155425219942,0.0,0.1495601173020528,0.030791788856304982,0.0,0.0029325513196480943,0.03958944281524927,0.017892644135188866,0.0,0.4671968190854871,466.0,1,0,20,40.875,0.012600545122834927,557,0,102,21,0,2,27,503,9,0,235,211.0
1,0.003332218742,0,0,0,0.7779171894604768,0.04015056461731493,0.1342534504391468,0.012547051442910916,0.0,0.03513174404015056,0.0602258469259724,0.1628498727735369,0.020356234096692117,0.3155216284987277,367.0,1,0,222,20.708,0.06742422689811768,620,32,107,10,0,28,48,393,64,8,124,151.0
2,0.0,0,0,0,0.8342105263157895,0.018859649122807017,0.0030701754385964912,0.11929824561403507,0.0,0.02456140350877193,0.10087719298245612,0.33948339483394835,0.057810578105781066,0.00984009840098401,1181.0,0,0,139,0.0,0.894457099468489,1902,43,7,272,0,56,230,813,276,47,8,585.0
3,2.397278627e-07,0,0,0,0.8948275862068965,0.0,0.07586206896551724,0.029310344827586206,0.0,0.0,0.08103448275862069,0.374384236453202,0.0,0.024630541871921183,372.0,0,0,74,0.0,0.40387858347386174,519,0,44,17,0,0,47,203,76,0,5,151.0
4,0.002840704705,0,0,1,0.3961998592540464,0.31175228712174524,0.033075299085151305,0.25897255453905704,0.0,0.0,0.1301900070372977,0.24535315985130116,0.13754646840148702,0.2509293680297397,556.0,1,0,230,44.083,0.16416905338358534,563,443,47,368,0,0,185,538,132,74,135,261.0
5,0.059258270820000014,1,0,2,0.8924914675767918,0.040955631399317405,0.025597269624573375,0.040955631399317405,0.0,0.0,0.0,0.2568218298555377,0.05778491171749599,0.012841091492776886,874.0,0,0,221,0.0,0.0,1569,72,45,72,0,0,0,623,160,36,8,444.0
6,1.461128224,3,0,4,0.7581184336198663,0.09455587392550144,0.03581661891117478,0.07354345749761222,0.0,0.037965616045845266,0.08213944603629418,0.5364936042136945,0.16328066215199402,0.02031602708803612,1958.0,0,0,2105,0.833,0.18883974140864235,3175,396,150,308,0,159,344,1329,713,217,27,961.0
7,5.891246232,0,0,1,0.731606827545615,0.0394349617422013,0.1718658034137728,0.05709240729841082,0.0,0.0,0.00529723366686286,0.5953307392996109,0.03501945525291829,0.007782101167315175,893.0,0,0,1078,0.0,0.0,1243,67,292,97,0,0,9,514,306,18,4,422.0
8,0.0,0,0,0,0.056281978396816375,0.047754405912450254,0.0,0.8806139852188744,0.015349630471859013,0.0,0.34565093803297325,0.5546558704453441,0.18016194331983806,0.17408906882591094,373.0,1,1,49,15.042,0.06375605962642605,99,84,0,1549,27,0,608,494,274,89,86,208.0
9,0.00687448245,0,0,2,0.4582278481012658,0.5025316455696203,0.0,0.039240506329113925,0.0,0.0,0.04050632911392405,0.3428571428571429,0.1469387755102041,0.048979591836734684,367.0,1,1,531,29.458,0.017814438513119483,362,397,0,31,0,0,32,245,84,36,12,173.0
10,0.0009298318376,1,0,0,0.7271095152603232,0.01974865350089766,0.0807899461400359,0.13644524236983846,0.0,0.03590664272890485,0.11131059245960502,0.2274509803921569,0.0,0.13725490196078433,431.0,1,1,763,14.833,0.110114061437103,405,11,45,76,0,20,62,255,58,0,35,210.0
11,0.008518419679,0,0,0,0.8707317073170732,0.007317073170731708,0.07723577235772358,0.027642276422764227,0.0,0.01707317073170732,0.012195121951219513,0.12908496732026145,0.0,0.0915032679738562,903.0,1,0,94,13.125,0.08951218894767488,1071,9,95,34,0,21,15,612,79,0,56,380.0
12,0.0,0,0,1,0.028762541806020062,0.07558528428093646,0.0,0.8956521739130435,0.0,0.0,0.2301003344481605,0.5802469135802469,0.12098765432098765,0.12098765432098765,573.0,1,1,140,14.5,0.341432105055001,43,113,0,1339,0,0,344,405,235,49,49,315.0
13,0.0126671195,0,0,0,0.6892655367231638,0.10734463276836158,0.10357815442561204,0.032956685499058384,0.0,0.06685499058380415,0.10263653483992467,0.30526315789473685,0.0,0.02368421052631579,605.0,1,0,68,18.292,0.07931676817997467,732,114,110,35,0,71,109,380,116,0,9,267.0
14,0.03723841744,0,0,1,0.0359493670886076,0.0,0.0,0.9640506329113924,0.0,0.0,0.1908860759493671,0.6276803118908382,0.18323586744639372,0.11306042884990253,760.0,1,1,58,2.958,0.38582121722773055,71,0,0,1904,0,0,377,513,322,94,58,392.0
15,0.0,0,0,0,0.19935691318327972,0.6913183279742765,0.0,0.08279742765273312,0.006430868167202572,0.02009646302250804,0.3247588424437299,0.4671717171717172,0.3409090909090909,0.08838383838383837,409.0,1,1,26,1.167,0.5212371481543907,248,860,0,103,8,25,404,396,185,135,35,250.0
16,0.0,0,0,0,0.32158590308370044,0.3039647577092511,0.290014684287812,0.04625550660792952,0.003671071953010279,0.03450807635829662,0.07856093979441997,0.3392857142857143,0.10317460317460317,0.07738095238095237,900.0,1,1,15,8.958,0.20665141257732575,438,414,395,63,5,47,107,504,171,52,39,466.0
17,0.0,0,0,0,0.10626702997275203,0.035422343324250684,0.08083560399636694,0.7520435967302452,0.0,0.025431425976385102,0.1271571298819255,0.5351170568561873,0.0,0.07023411371237458,412.0,1,1,10,1.833,0.5339656756676645,117,39,89,828,0,28,140,299,160,0,21,219.0
18,0.0,0,0,2,0.4607768469154608,0.013709063214013708,0.010662604722010662,0.4958111195734958,0.0,0.01904036557501904,0.26199543031226197,0.14862385321100918,0.02201834862385321,0.3541284403669725,740.0,1,1,681,39.417,0.4750589152586141,605,18,14,651,0,25,344,545,81,12,193,358.0
19,0.02862867378,0,0,0,0.9355797819623388,0.0,0.014866204162537162,0.02180376610505451,0.0,0.02775024777006937,0.045589692765113966,0.35904255319148937,0.0,0.029255319148936167,439.0,0,0,159,1.3330000000000002,0.014616795420441253,944,0,15,22,0,28,46,376,135,0,11,190.0
20,0.08621342205,1,0,1,0.18335500650195055,0.7802340702210663,0.0,0.009102730819245772,0.0,0.02730819245773732,0.05851755526657997,0.14893617021276595,0.05319148936170213,0.11347517730496455,308.0,1,0,193,13.833,0.18013031907839486,141,600,0,7,0,21,45,282,42,15,32,170.0
21,0.02889785414,0,0,0,0.30208891269416177,0.09962506695232994,0.146223888591323,0.31440814140332085,0.0,0.1376539903588645,0.1472951258703803,0.3152804642166344,0.1760154738878143,0.11605415860735008,673.0,1,1,435,17.0,0.12598671698996455,564,186,273,587,0,257,275,517,163,91,60,359.0
22,0.1057961889,0,0,0,0.9172976121141526,0.0,0.064065230052417,0.0052417006406523005,0.0,0.013395457192778102,0.0052417006406523005,0.4021739130434783,0.05434782608695652,0.023291925465838508,786.0,0,0,529,4.25,0.5653840449925278,1575,0,110,9,0,23,9,644,259,35,15,306.0
23,0.0,0,0,0,0.7787958115183246,0.032722513089005235,0.11910994764397904,0.037303664921465966,0.0,0.03206806282722513,0.043193717277486915,0.0,0.0,0.3006396588486141,893.0,1,0,299,42.25,0.09135199177460973,1190,50,182,57,0,49,66,938,0,0,282,383.0
24,0.3739244113,1,0,1,0.6701388888888888,0.06388888888888887,0.025694444444444443,0.19444444444444445,0.0,0.04583333333333333,0.12569444444444444,0.2927215189873418,0.05854430379746835,0.004746835443037975,680.0,0,0,833,1.7080000000000002,0.09059974478945132,965,92,37,280,0,66,181,632,185,37,3,357.0
25,0.0,0,0,1,0.24451754385964916,0.03399122807017544,0.0,0.6864035087719298,0.0,0.03508771929824561,0.18859649122807015,0.4166666666666667,0.05555555555555555,0.2623456790123457,447.0,1,1,303,19.292,0.254878027580692,223,31,0,626,0,32,172,324,135,18,85,236.0
26,0.0,0,0,0,0.5772825305535586,0.04672897196261682,0.13156002875629044,0.2358015815959741,0.0,0.008626887131560028,0.07260963335729691,0.31654676258992803,0.05035971223021583,0.1606714628297362,635.0,0,1,144,1.125,0.0,803,65,183,328,0,12,101,417,132,21,67,308.0
27,0.005243160291,0,0,0,0.2814645308924485,0.011441647597254004,0.6453089244851259,0.06178489702517163,0.0,0.0,0.09839816933638444,0.25,0.0,0.19078947368421054,325.0,1,1,36,13.667,0.03291543281153153,123,5,282,27,0,0,43,152,38,0,29,194.0
28,0.0,0,0,0,0.9389978213507624,0.0,0.016339869281045753,0.03594771241830065,0.008714596949891068,0.0,0.0032679738562091504,0.43333333333333335,0.02666666666666667,0.013333333333333334,385.0,0,0,512,3.208,0.7966286963525486,862,0,15,33,8,0,3,300,130,8,4,172.0
29,0.2121543439,0,0,0,0.12383612662942273,0.5232774674115456,0.05027932960893855,0.21880819366852888,0.0,0.08379888268156424,0.15083798882681565,0.3126843657817109,0.11799410029498525,0.14749262536873156,603.0,1,0,994,12.792,0.01371119130732512,133,562,54,235,0,90,162,339,106,40,50,313.0
30,0.0001843566502,0,0,0,0.6324237560192616,0.15569823434991975,0.07811663991439273,0.120920278223649,0.0,0.012841091492776886,0.12413055109684325,0.2641770401106501,0.07607192254495157,0.041493775933609964,790.0,0,0,7,2.542,0.03554730983302412,1182,291,146,226,0,24,232,723,191,55,30,342.0
31,2.828099131e-05,0,0,0,0.26666666666666666,0.1957805907172996,0.0008438818565400844,0.5215189873417722,0.0,0.015189873417721518,0.12067510548523208,0.3543307086614173,0.013123359580052492,0.010498687664041995,620.0,1,1,25,2.708,0.7110625019655256,316,232,1,618,0,18,143,381,135,5,4,333.0
32,0.04605119562,0,0,1,0.018365472910927456,0.3076216712580349,0.0,0.6740128558310376,0.0,0.0,0.3076216712580349,0.8395061728395061,0.654320987654321,0.06584362139917696,251.0,0,1,50,1.125,0.0,20,335,0,734,0,0,335,243,204,159,16,144.0
33,0.0004272054351,0,0,0,0.2859778597785978,0.2656826568265683,0.2472324723247233,0.2011070110701107,0.0,0.0,0.37453874538745385,0.10905349794238683,0.034979423868312765,0.3991769547325103,376.0,1,1,46,40.417,0.0734741206090016,310,288,268,218,0,0,406,486,53,17,194,198.0
34,0.0,0,0,0,0.7982222222222223,0.0,0.0,0.16177777777777774,0.0,0.04,0.10755555555555556,0.3034300791556728,0.044854881266490766,0.11873350923482848,476.0,0,0,172,2.333,0.6974780555184245,898,0,0,182,0,45,121,379,115,17,45,245.0
35,0.0004675616543,0,0,0,0.8267918088737202,0.022184300341296932,0.04778156996587031,0.03668941979522184,0.0,0.06655290102389079,0.12798634812286688,0.32857142857142857,0.11428571428571427,0.1357142857142857,548.0,1,1,86,2.708,0.05605365064107881,969,26,56,43,0,78,150,420,138,48,57,287.0
36,13.70225906,0,0,0,0.9525159461374912,0.0,0.0,0.04748405386250886,0.0,0.0,0.0,0.13708260105448156,0.0,0.04745166959578207,743.0,0,0,454,0.0,0.0,1344,0,0,67,0,0,0,569,78,0,27,327.0
37,0.0,0,0,0,0.9414634146341464,0.013008130081300813,0.0,0.04552845528455285,0.0,0.0,0.061788617886178863,0.27450980392156865,0.0,0.035294117647058816,416.0,1,0,45,2.0,0.5345289836971907,579,8,0,28,0,0,38,255,70,0,9,192.0
38,0.0,0,0,0,0.008535784635587657,0.9757058437294812,0.0,0.009192383453709785,0.006565988181221274,0.0,0.30400525279054497,0.37154989384288745,0.19532908704883228,0.1592356687898089,526.0,1,1,1,14.292,0.029765160631586633,13,1486,0,14,10,0,463,471,175,92,75,306.0
39,0.0,1,0,1,0.006644518272425249,0.918936877076412,0.0,0.07441860465116279,0.0,0.0,0.4903654485049834,0.41444270015698587,0.2621664050235479,0.5306122448979592,661.0,1,1,77,21.667,0.06271032337825777,10,1383,0,112,0,0,738,637,264,167,338,402.0
40,0.0105941954,0,0,1,0.0,0.9840425531914894,0.0,0.015957446808510637,0.0,0.0,0.3271276595744681,0.17679558011049726,0.17679558011049726,0.4585635359116022,144.0,1,1,30,23.458,0.03451481172303317,0,370,0,6,0,0,123,181,32,32,83,93.0
41,0.0,0,0,1,0.631937682570594,0.03213242453748783,0.10808179162609542,0.2278481012658228,0.0,0.0,0.2249269717624148,0.2385542168674699,0.0819277108433735,0.14216867469879518,549.0,1,1,246,21.75,0.21941497582333705,649,33,111,234,0,0,231,415,99,34,59,294.0
42,0.0,0,0,1,0.021983161833489244,0.0074836295603367626,0.0304022450888681,0.940130963517306,0.0,0.0,0.09448082319925163,0.6484210526315789,0.22526315789473686,0.2631578947368421,603.0,1,1,118,20.75,0.1250624923620446,47,16,65,2010,0,0,202,475,308,107,125,347.0
43,1.836045749,0,0,1,0.8037098560354374,0.0,0.004706533776301218,0.1553156146179402,0.0,0.03626799557032115,0.04983388704318937,0.3986068111455108,0.06501547987616099,0.08823529411764706,1648.0,0,0,3033,0.542,0.0,2903,0,17,561,0,131,180,1292,515,84,114,787.0
44,0.6007380531000001,4,0,2,0.31356283699709664,0.6491082538365823,0.03235172127747823,0.0,0.0,0.004977187888842804,0.00829531314807134,0.17929050814956854,0.032598274209012464,0.07766059443911794,716.0,1,0,1636,4.708,0.4370688407544985,756,1565,78,0,0,12,20,1043,187,34,81,368.0
45,1.134729624,1,0,2,0.7126965861143076,0.005370157268891446,0.10395090141925584,0.12236286919831225,0.0,0.05561948599923283,0.10280015343306484,0.22774133083411435,0.07216494845360824,0.06654170571696345,1363.0,0,0,1569,1.4169999999999998,0.0,1858,14,271,319,0,145,268,1067,243,77,71,664.0
46,0.05846369571000001,0,0,1,0.2783755640402638,0.3030197847969455,0.041305102395001736,0.35994446372787225,0.0,0.017355085039916694,0.17771607080874696,0.3998287671232877,0.19606164383561644,0.010273972602739724,1510.0,0,0,213,1.7080000000000002,0.0,802,873,119,1037,0,50,512,1168,467,229,12,788.0
47,0.007771390992000002,1,0,1,0.6730083234244947,0.0,0.25802615933412604,0.04994054696789536,0.0,0.019024970273483943,0.11533888228299645,0.34591194968553457,0.0,0.05345911949685535,444.0,1,0,148,7.375,0.4456182701500737,566,0,217,42,0,16,97,318,110,0,17,213.0
48,0.2067634037,0,0,1,0.030223390275952694,0.7779237844940867,0.0,0.19185282522996056,0.0,0.0,0.4086727989487517,0.3636363636363637,0.2196969696969697,0.17045454545454544,422.0,1,1,88,19.167,0.12216987903067945,23,592,0,146,0,0,311,264,96,58,45,248.0
49,0.0,0,0,1,0.3224368499257058,0.01634472511144131,0.005200594353640416,0.6560178306092125,0.0,0.0,0.2615156017830609,0.4586466165413534,0.12030075187969926,0.13032581453634084,657.0,1,1,158,6.832999999999998,0.08421787285692606,434,22,7,883,0,0,352,399,183,48,52,358.0
50,0.1990241977,4,0,2,0.4082217973231357,0.2045889101338432,0.03824091778202677,0.24091778202676864,0.0,0.10803059273422562,0.01338432122370937,0.2420749279538905,0.04610951008645533,0.13544668587896252,581.0,1,0,8837,12.375,0.38723688169651616,427,214,40,252,0,113,14,347,84,16,47,318.0
51,0.001746875493,0,0,1,0.17768240343347638,0.3369098712446352,0.018454935622317595,0.3866952789699571,0.0,0.08025751072961372,0.2978540772532189,0.4273339749759384,0.15688161693936478,0.04331087584215592,1072.0,0,1,479,2.208,0.2408247336884154,414,785,43,901,0,187,694,1039,444,163,45,571.0
52,0.0,3,0,2,0.2604,0.0036,0.0884,0.6248,0.0,0.0228,0.1704,0.4371727748691099,0.1112565445026178,0.09031413612565443,1115.0,1,1,965,59.167,0.10369929103349174,651,9,221,1562,0,57,426,764,334,85,69,570.0
53,0.0,0,0,0,0.06545454545454546,0.9345454545454546,0.0,0.0,0.0,0.0,0.04181818181818182,0.032846715328467155,0.0,0.040145985401459854,498.0,1,0,0,0.0,0.2693612719164612,36,514,0,0,0,0,23,274,9,0,11,284.0
54,0.01497884624,0,0,1,0.11081081081081083,0.045045045045045036,0.036036036036036036,0.7963963963963964,0.0,0.011711711711711712,0.17027027027027028,0.40372670807453415,0.2204968944099379,0.08074534161490682,520.0,0,1,199,5.625,0.1366346213871028,123,50,40,884,0,13,189,322,130,71,26,284.0
55,0.0,1,0,4,0.007264957264957266,0.0,0.0,0.9927350427350428,0.0,0.0,0.311965811965812,0.4889543446244477,0.12665684830633284,0.2371134020618557,559.0,1,1,129,16.208,0.11824613199841848,17,0,0,2323,0,0,730,679,332,86,161,307.0
56,0.001136759905,0,0,0,0.4992743105950653,0.05878084179970972,0.21915820029027575,0.2017416545718433,0.0,0.02104499274310595,0.16690856313497826,0.3240740740740741,0.06481481481481481,0.11851851851851852,718.0,1,1,41,11.833,0.17028562949085654,688,81,302,278,0,29,230,540,175,35,64,375.0
57,0.0,0,0,0,0.3537206931702345,0.0509683995922528,0.04994903160040775,0.4281345565749236,0.0,0.11722731906218145,0.04077471967380224,0.39436619718309857,0.22816901408450704,0.1295774647887324,533.0,1,1,164,15.667,0.1328073502418643,347,50,49,420,0,115,40,355,140,81,46,263.0
58,0.0,0,0,0,0.7676470588235295,0.0,0.08235294117647059,0.15,0.0,0.0,0.035294117647058816,0.25732899022801303,0.01954397394136808,0.0488599348534202,390.0,0,0,417,0.0,0.6396264176117412,522,0,56,102,0,0,24,307,79,6,15,202.0
59,0.003068074438,0,0,0,0.8896434634974533,0.0,0.0,0.11035653650254668,0.0,0.0,0.0,0.12549019607843134,0.0,0.0196078431372549,473.0,1,0,149,0.0,0.3806629746584364,524,0,0,65,0,0,0,255,32,0,5,252.0
60,0.1805878319,4,1,5,0.44397410358565736,0.21264940239043825,0.20293824701195215,0.10806772908366534,0.0,0.03237051792828685,0.15512948207171315,0.2506426735218509,0.02313624678663239,0.15809768637532134,1511.0,1,1,11758,32.333,0.4204063014397947,1783,854,815,434,0,130,623,778,195,18,123,695.0
61,0.0,0,0,1,0.0,0.9471488178025036,0.0,0.052851182197496516,0.0,0.0,0.541029207232267,0.1872146118721461,0.1872146118721461,0.3287671232876712,292.0,1,1,81,21.833,0.017334657926042163,0,681,0,38,0,0,389,219,41,41,72,179.0
62,0.05407121815,0,1,0,0.7416520210896309,0.0,0.04803749267721148,0.12478031634446395,0.0,0.08553016988869361,0.055653192735793784,0.3397190293742018,0.14303959131545338,0.11877394636015325,795.0,1,1,5387,27.167,0.02285801866280768,1266,0,82,213,0,146,95,783,266,112,93,426.0
